predicted_cluster,webname
[3],about.me
[0],telegraph.co.uk
[0],calendly.com
[0],wikidot.com
[3],bloomberg.com
[0],qq.com
[2],nhk.or.jp
[3],uol.com.br
[3],office.com
[0],themegrill.com
[0],verisign.com
[3],mitre.org
[0],ucsb.edu
[0],ebay.com
[0],aliyun.com
[3],fcc.gov
[0],nature.com
[0],wufoo.com
[0],parallels.com
[3],liveinternet.ru
[0],tx.us
[1],wipo.int
[0],huffpost.com
[3],fiverr.com
[0],seekingalpha.com
[0],telegram.org
[3],zoho.com
[3],spiegel.de
[0],bostonglobe.com
[0],aol.com
[3],usgs.gov
[0],udemy.com
[0],woocommerce.com
[0],biomedcentral.com
[3],latimes.com
[3],cbsnews.com
[0],podbean.com
[0],isc.org
[3],thelancet.com
[0],play.google.com
[0],evernote.com
[0],google.co.jp
[0],policies.google.com
[0],twitter.com
[3],medscape.com
[0],ibtimes.com
[0],open.spotify.com
[0],fbcdn.net
[0],walmart.com
[3],arcgis.com
