,total_requests,js_requests,img_requests,doc_requests,css_requests,font_requests,media_requests,other_requests,3rdparty_requests,total_size,js_size,img_size,doc_size,css_size,font_size,media_size,other_size,3rdparty_size,firstContentfulPaint,firstMeaningfulPaint,largestContentfulPaint,totalCumulativeLayoutShift,speedIndex,interactive,observedLoad,observedDomContentLoaded,RequestsBeforeSI,TransferBeforeSI,RequestsAfterSI,TransferAfterSI
https://eff.org/,39,6,23,1,3,5,0,1,0,2427.237,914.993,889.261,13.058,423.332,186.299,0.0,0.294,0.0,1901,2060,2660,0.0024246851219623567,2238,2241,2284,1758,39,2427237,1,2972
https://isc.org/,27,8,10,1,3,1,0,4,12,577.872,200.168,283.371,5.88,30.72,56.893,0.0,0.84,270.918,987,987,1286,0.009448522503397169,1252,1626,1738,1201,25,428601,8,150625
https://telegram.me/,30,2,18,1,2,0,2,5,1,1214.777,14.07,654.685,6.293,40.316,0.0,496.55,2.863,0.278,715,715,904,0.0,1648,751,2593,1995,25,710311,7,519795
https://colorado.edu/,347,41,106,11,8,5,0,176,312,3422.244,716.394,2293.519,42.947,103.541,168.218,0.0,97.625,1071.039,1844,2185,3686,0.007591324190819925,3206,7517,9328,3603,36,997646,312,2429617
https://ameblo.jp/,46,14,19,1,3,1,0,8,41,1076.695,167.33,866.19,25.938,13.015,2.975,0.0,1.247,1050.324,1248,1451,2125,0.0,2994,2327,4390,2475,37,1072989,10,21474
https://nokia.com/,86,28,13,2,4,5,2,32,56,18200.778,677.329,442.038,28.845,87.732,254.666,16703.105,7.063,519.33,1919,1989,2901,0.004086453014296318,5217,4589,7707,3306,70,1420700,24,16787944
https://unc.edu/,72,29,17,2,7,8,3,6,28,25474.34,478.209,3647.281,37.427,148.48,169.76,20989.078,4.105,553.35,1907,1993,2029,0.0015302636418050232,5489,6696,10082,6362,53,2221545,19,23252795
https://unsplash.com/,88,20,38,1,0,0,0,29,34,894.949,431.22,375.363,47.329,0.0,0.0,0.0,41.037,48.307,1095,1146,2204,0.002331188333493007,9471,23792,15239,15000,18,436206,70,458743
https://hindustantimes.com/,477,65,198,38,2,2,0,172,339,3481.19,1301.113,1677.434,171.178,23.401,48.533,0.0,259.531,2123.743,801,934,2022,0.0008990028750220485,13941,13852,5170,2894,438,3213261,45,267929
https://typeform.com/,60,30,5,1,0,5,5,14,18,4922.009,945.888,118.844,59.578,0.0,218.234,3499.14,80.325,374.023,1037,1037,1211,0.0,3523,3750,4405,2545,53,3711164,8,1210845
